location,population,HighestInfectionCount,Max_Infection_Percentage
Cyprus,896007,660854,73.75545057
San Marino,33690,24697,73.30661917
Brunei,449002,311905,69.466283
Austria,8939617,6081287,68.02625884
South Korea,51815808,34571873,66.72070616
Faeroe Islands,53117,34658,65.24841388
Slovenia,2119843,1345384,63.46620953
Gibraltar,32677,20550,62.88827004
Martinique,367512,230354,62.67931387
Andorra,79843,48015,60.13676841
Jersey,110796,66391,59.92183833
Luxembourg,647601,384378,59.35413935
Saint Pierre and Miquelon,5885,3426,58.21580289
Denmark,5882259,3417017,58.0902167
France,67813000,38997490,57.50739534
Iceland,372903,209142,56.08482635
Guernsey,63329,35326,55.78171138
Portugal,10270857,5621015,54.72780898
Liechtenstein,39355,21497,54.62330072
Latvia,1850654,976316,52.75518817
Greece,10384972,5405742,52.05350578
Guadeloupe,395762,203235,51.35283327
Israel,9449000,4840714,51.22990793
Reunion,974062,494595,50.77654194
Falkland Islands,3801,1923,50.59194949
Switzerland,8740471,4415674,50.51986329
Saint Barthelemy,10994,5507,50.0909587
Georgia,3744385,1855289,49.54856405
Netherlands,17564020,8618815,49.07085622
Lithuania,2750058,1333228,48.47999569
Seychelles,107135,50937,47.54468661
Bahrain,1472237,696614,47.31670241
Monaco,36491,17049,46.72110931
Singapore,5637022,2626395,46.59188841
New Zealand,5185289,2390777,46.10691902
Germany,83369840,38437756,46.10510947
Cayman Islands,68722,31472,45.79610605
Niue,1952,887,45.44057377
Estonia,1326064,602187,45.41160909
Isle of Man,84534,38008,44.96179052
Czechia,10493990,4657581,44.38331845
Australia,26177410,11618144,44.38232812
Italy,59037472,26168412,44.32508899
Bonaire Sint Eustatius and Saba,27052,11922,44.07067869
Nauru,12691,5393,42.49468127
Cook Islands,17032,7168,42.08548614
Aruba,106459,44224,41.54087489
Belgium,11655923,4817196,41.32831008
Saint Helena,5401,2166,40.1036845
Montenegro,627082,251280,40.07131444
Barbados,281646,110074,39.08239421
Marshall Islands,41593,16138,38.79979804
Saint Martin (French part),31816,12324,38.73522756
Puerto Rico,3252412,1252713,38.51643027
Serbia,6871547,2560024,37.25542443
United Kingdom,67508936,24779150,36.70499265
Maldives,523798,186694,35.64236595
Palau,18084,6243,34.5222296
Ireland,5023108,1722546,34.29243409
Slovakia,5643455,1867647,33.09403548
French Guiana,304568,98041,32.19018413
Montserrat,4413,1403,31.79243145
Croatia,4030361,1275762,31.65378982
Wallis and Futuna,11596,3550,30.61400483
United States,338289856,103436829,30.57639098
Uruguay,3422796,1039238,30.36225355
Guam,171783,52032,30.28937671
Mongolia,3398373,1011170,29.75453254
Spain,47558632,13980340,29.39600954
Bermuda,64207,18860,29.3737443
Northern Mariana Islands,49574,14299,28.84374874
New Caledonia,289959,80064,27.61217965
Norway,5434324,1489459,27.40835843
Japan,123951696,33803572,27.27156876
Chile,19603736,5288843,26.97875038
Finland,5540745,1487090,26.83917054
Tuvalu,11335,2943,25.96382885
Sweden,10549349,2718433,25.76872753
French Polynesia,306292,78642,25.6754992
United States Virgin Islands,99479,25389,25.52196946
Sint Maarten (Dutch part),44192,11051,25.00678856
Anguilla,15877,3904,24.58902815
Curacao,191173,45883,24.00077417
Costa Rica,5180836,1238884,23.91282025
Mauritius,1299478,309917,23.84934566
Panama,4408582,1047587,23.76244788
British Virgin Islands,31332,7305,23.31482191
Micronesia (country),114178,26547,23.25053863
Lebanon,5489744,1239904,22.5858255
Malta,533293,120422,22.58083268
Hungary,9967304,2207969,22.15211857
Argentina,45510324,10054576,22.09295631
Dominica,72758,15798,21.71307623
Greenland,56494,11971,21.18986087
Turkey,85341248,17004677,19.92550777
Bulgaria,6781955,1302188,19.20077618
Moldova,3272993,625153,19.10034638
Qatar,2695131,514524,19.09087165
American Samoa,44295,8359,18.87120442
Romania,19659270,3478091,17.69186241
Belize,405285,71060,17.53334074
Brazil,215313504,37721749,17.5194534
Saint Lucia,179872,30147,16.76025173
North Macedonia,2093606,349104,16.67477071
Poland,39857144,6525385,16.37193322
Armenia,2780472,450334,16.19631487
Russia,144713312,23061960,15.93630861
Tonga,106867,16839,15.75696894
Grenada,125459,19693,15.69676149
Kuwait,4268886,666432,15.61137964
Jordan,11285875,1746997,15.47949982
Kosovo,1782115,274247,15.38884977
Malaysia,33938216,5130847,15.11819891
Turks and Caicos Islands,45726,6630,14.49940953
Ukraine,39701744,5520483,13.90488791
Saint Kitts and Nevis,47681,6607,13.85667247
Palestine,5250076,703228,13.39462514
Suriname,618046,82588,13.36275941
Peru,34049588,4520727,13.27689193
Mayotte,326113,42027,12.88725074
Botswana,2630300,330298,12.55742691
Trinidad and Tobago,1531043,191496,12.50755204
Bosnia and Herzegovina,3233530,403203,12.46943743
Colombia,51874028,6382432,12.30371391
Canada,38454328,4716205,12.26443224
Vietnam,98186856,11623987,11.83863856
Albania,2842318,334090,11.7541387
United Arab Emirates,9441138,1067030,11.30192144
Cape Verde,593162,64401,10.8572363
Paraguay,6780745,735897,10.85274553
Belarus,9534956,994037,10.42518707
Cuba,11212198,1115103,9.94544513
Bolivia,12224114,1209081,9.89094997
Antigua and Barbuda,93772,9106,9.710787868
Tunisia,12356116,1153361,9.334332892
Bahamas,409989,38084,9.289029706
Saint Vincent and the Grenadines,103959,9644,9.276734097
Guyana,808727,73388,9.074508456
Oman,4576300,399449,8.728645412
Iran,88550568,7619981,8.605231081
Pitcairn,47,4,8.510638298
Azerbaijan,10358078,833550,8.047342374
Bhutan,782457,62697,8.012836488
Kazakhstan,19397998,1502857,7.747485076
Samoa,222390,16778,7.544403975
Libya,6812344,507269,7.446320973
Fiji,929769,69047,7.426253188
Guatemala,17843914,1271070,7.123269032
China,1425887360,99315684,6.965184403
South Africa,59893884,4072533,6.799580738
Namibia,2567024,172121,6.705079501
Thailand,71697024,4757728,6.635879336
Eswatini,1201680,75052,6.245589508
Mexico,127504120,7692397,6.033057598
Dominican Republic,11228821,667074,5.940730554
Ecuador,18001002,1069139,5.939330488
Iraq,44496124,2465545,5.541033192
Jamaica,2827382,156414,5.532114161
Honduras,10432858,474587,4.548964435
Tokelau,1893,80,4.226096144
Kiribati,131237,5085,3.874669491
Vanuatu,326744,12019,3.678414906
Philippines,115559008,4173631,3.611688152
Morocco,37457976,1277082,3.409372679
Nepal,30547586,1003447,3.284865128
Vatican,808,26,3.217821782
El Salvador,6336393,201808,3.184903462
India,1417173120,44999588,3.175306345
Sri Lanka,21832150,672593,3.080745598
Solomon Islands,724272,21611,2.983823757
Laos,7529477,218876,2.906921689
Sao Tome and Principe,227393,6599,2.902024249
Indonesia,275501344,6813429,2.47310191
Saudi Arabia,36408824,841469,2.311167754
Gabon,2388997,48992,2.050735099
Venezuela,28301700,552695,1.952868556
Timor,1341298,23460,1.749052038
Zambia,20017670,349287,1.744893387
Zimbabwe,16320539,265808,1.6286717
Lesotho,2305826,35836,1.554150226
Djibouti,1120851,15690,1.399829237
Mauritania,4736146,63774,1.346537881
Kyrgyzstan,6630621,88889,1.340583333
Bangladesh,171186368,2045843,1.195096913
Myanmar,54179312,641324,1.18370643
Comoros,836783,9109,1.08857374
Equatorial Guinea,1674916,17130,1.022737857
Rwanda,13776702,133194,0.966806134
Cambodia,16767851,138941,0.828615426
Mozambique,32969520,233654,0.708697003
Pakistan,235824864,1580631,0.670256297
Kenya,54027484,343999,0.636711123
Algeria,44903228,271945,0.605624611
Afghanistan,41128772,226816,0.551477686
Senegal,17316452,89022,0.514089145
Ghana,33475870,171653,0.51276636
Uzbekistan,34627648,174123,0.502843855
Gambia,2705995,12626,0.466593619
Egypt,110990096,516023,0.464927069
Papua New Guinea,10142625,46864,0.462050012
Guinea-Bissau,2105580,9614,0.456596282
Cameroon,27914542,125090,0.448117687
Togo,8848700,39524,0.446664482
Malawi,20405318,88986,0.436092199
Congo,5970430,25196,0.422013155
Burundi,12889583,54366,0.421782458
Ethiopia,123379928,501060,0.406111438
Uganda,47249588,171871,0.36375132
Cote d'Ivoire,28160548,88338,0.31369418
Angola,35588996,105972,0.297766197
Haiti,11585003,34368,0.296659397
Guinea,13859349,38563,0.278245392
Eritrea,3684041,10189,0.276571298
Central African Republic,5579148,15367,0.275436321
Syria,22125242,57423,0.259536144
Nicaragua,6948395,16050,0.230988595
Madagascar,29611718,68350,0.230820785
Benin,13352864,28036,0.209962447
Tajikistan,9952789,17786,0.178703678
South Sudan,10913172,18368,0.168310368
Somalia,17597508,27334,0.155328811
Liberia,5302690,8090,0.152564076
Mali,22593598,33158,0.146758387
Sudan,46874200,63993,0.13652073
Nigeria,218541216,267146,0.122240557
Democratic Republic of Congo,99010216,99181,0.100172491
Burkina Faso,22673764,22056,0.097275424
Sierra Leone,8605723,7766,0.090242272
Tanzania,65497752,43078,0.065770196
Chad,17723312,7698,0.04343432
Niger,26207982,9515,0.036305733
Yemen,33696612,11945,0.035448668
Wales,3170000,0,0
Northern Cyprus,382836,0,0
England,56550000,0,0
Turkmenistan,6430777,0,0
Northern Ireland,1896000,0,0
Macao,695180,0,0
Scotland,5466000,0,0
Hong Kong,7488863,0,0
Taiwan,23893396,0,0
North Korea,26069416,0,0
Western Sahara,576005,0,0
